Location,Size_sqft,Num_Bedrooms,Num_Bathrooms,Has_Balcony,Floor_Number,Building_Age_Years,Parking_Available,Nearby_Schools,Distance_to_CityCenter_km,Security_Level,Price_Category
City Center,641.0,1.0,,No,2.0,13.0,No,Few,1.6,Low,High
City Center,1386.0,4.0,1.0,Yes,10.0,48.0,No,Few,19.5,Medium,Medium
Countryside,2024.0,2.0,3.0,Yes,10.0,28.0,Yes,Many,8.2,Medium,High
,1683.0,3.0,3.0,Yes,12.0,30.0,No,Few,2.0,Medium,High
City Center,626.0,1.0,2.0,Yes,6.0,3.0,Yes,Few,,Medium,Medium
,2092.0,3.0,2.0,No,16.0,17.0,Yes,Few,24.2,High,Medium
Suburbs,2059.0,1.0,1.0,No,1.0,19.0,No,,25.6,Medium,Low
Suburbs,1289.0,2.0,3.0,No,11.0,46.0,,Few,14.8,High,Low
City Center,1251.0,3.0,2.0,No,9.0,42.0,No,Many,12.8,Medium,Medium
Suburbs,1022.0,4.0,2.0,Yes,17.0,43.0,Yes,Many,,Medium,Medium
City Center,2379.0,,2.0,Yes,,,No,Many,6.4,Low,Medium
Suburbs,728.0,3.0,2.0,No,,12.0,No,Few,6.9,High,Medium
Countryside,1800.0,4.0,2.0,No,16.0,14.0,No,Few,,Low,High
Countryside,585.0,3.0,2.0,No,18.0,26.0,No,Many,5.6,Medium,Medium
City Center,2365.0,3.0,,No,17.0,14.0,No,Many,11.7,High,Medium
Countryside,1068.0,3.0,3.0,,2.0,27.0,No,Few,27.4,Medium,Medium
Countryside,1694.0,1.0,3.0,Yes,15.0,36.0,Yes,Many,18.7,Low,Medium
Suburbs,493.0,4.0,2.0,Yes,5.0,18.0,,Many,12.7,High,High
,1287.0,2.0,,Yes,11.0,25.0,Yes,Few,28.1,Low,Low
Suburbs,,1.0,,No,10.0,25.0,No,Many,1.9,Medium,Low
Suburbs,2461.0,1.0,3.0,,14.0,24.0,Yes,Few,6.7,Medium,Low
Suburbs,2001.0,1.0,2.0,No,14.0,25.0,No,Few,17.2,Medium,Low
Suburbs,1246.0,2.0,2.0,No,15.0,25.0,Yes,Many,18.7,High,Low
Suburbs,1130.0,4.0,3.0,Yes,9.0,45.0,Yes,Few,,Low,High
Suburbs,2220.0,4.0,3.0,Yes,11.0,,No,Few,12.4,Low,Low
Suburbs,354.0,4.0,2.0,No,12.0,48.0,Yes,Few,19.7,Medium,High
City Center,,3.0,1.0,Yes,3.0,17.0,Yes,Many,21.1,Low,High
Countryside,1077.0,3.0,3.0,Yes,6.0,31.0,Yes,Many,19.3,High,Low
Suburbs,1781.0,3.0,1.0,No,1.0,,No,Many,10.0,Medium,Low
Suburbs,2201.0,2.0,3.0,,14.0,1.0,Yes,Few,3.3,Medium,Low
,2434.0,3.0,1.0,No,7.0,,No,,13.1,Medium,Medium
Suburbs,354.0,2.0,1.0,,6.0,41.0,Yes,Many,4.3,High,High
,2123.0,4.0,1.0,,14.0,18.0,Yes,Many,28.5,Medium,Low
Suburbs,1501.0,3.0,2.0,No,13.0,16.0,Yes,Few,14.5,Medium,Medium
,1132.0,3.0,1.0,Yes,7.0,43.0,Yes,Many,9.9,Medium,High
Countryside,612.0,1.0,1.0,Yes,11.0,,,Many,23.1,Medium,Medium
Suburbs,2158.0,,,No,12.0,,Yes,Many,15.2,Low,Medium
Countryside,2307.0,4.0,3.0,Yes,10.0,,No,Many,9.6,,Low
City Center,2306.0,1.0,1.0,No,16.0,,No,Many,24.5,High,High
Suburbs,,,3.0,No,16.0,42.0,Yes,Few,26.1,Medium,Medium
City Center,627.0,4.0,,No,3.0,48.0,Yes,Many,20.4,Medium,High
City Center,1587.0,,,No,,25.0,,Many,1.9,Low,Low
Suburbs,2443.0,2.0,2.0,Yes,4.0,34.0,No,Few,17.2,,High
Countryside,,2.0,3.0,No,15.0,7.0,Yes,Few,23.0,Low,Medium
City Center,1611.0,3.0,1.0,Yes,3.0,35.0,Yes,Few,4.5,High,Medium
Suburbs,751.0,1.0,3.0,No,14.0,6.0,Yes,Few,7.2,Low,High
City Center,1823.0,3.0,,No,11.0,45.0,Yes,Many,26.5,Medium,Medium
,464.0,1.0,,No,4.0,,Yes,Many,,High,Medium
City Center,481.0,2.0,2.0,Yes,15.0,,No,Many,22.7,Medium,Medium
City Center,1209.0,2.0,2.0,No,13.0,15.0,Yes,Many,14.5,Low,Low
Countryside,1122.0,,2.0,No,9.0,23.0,Yes,Few,13.7,High,Low
City Center,1243.0,1.0,,No,6.0,0.0,No,Few,0.7,High,Medium
City Center,2301.0,,2.0,Yes,12.0,48.0,Yes,Many,24.7,,High
City Center,2354.0,1.0,2.0,Yes,19.0,24.0,Yes,Many,,,Low
,629.0,,2.0,Yes,4.0,9.0,No,Many,16.5,High,High
City Center,1074.0,1.0,,No,2.0,15.0,Yes,,20.5,High,Medium
City Center,2498.0,,3.0,Yes,14.0,15.0,No,Few,21.2,Low,Medium
Countryside,446.0,1.0,2.0,No,3.0,7.0,Yes,Many,28.7,,High
Countryside,1214.0,3.0,2.0,Yes,14.0,,Yes,Few,16.2,High,Low
Countryside,1871.0,2.0,3.0,Yes,13.0,38.0,Yes,Few,12.3,Low,High
City Center,,3.0,1.0,No,19.0,27.0,No,Few,28.6,Medium,High
Countryside,381.0,2.0,3.0,Yes,18.0,,No,Few,19.4,High,Medium
Countryside,813.0,2.0,3.0,No,12.0,15.0,No,Many,9.3,High,Low
City Center,,3.0,2.0,No,9.0,19.0,No,Many,4.2,Low,High
Countryside,2239.0,1.0,3.0,Yes,4.0,15.0,Yes,Many,25.4,,Low
City Center,,1.0,,No,19.0,6.0,No,Many,11.2,High,Medium
Suburbs,1709.0,4.0,2.0,No,19.0,40.0,No,Few,20.0,Medium,Low
Countryside,1006.0,1.0,2.0,Yes,5.0,13.0,No,,14.4,Medium,Medium
Suburbs,770.0,4.0,2.0,Yes,3.0,42.0,Yes,Few,,High,Low
City Center,,1.0,2.0,No,1.0,25.0,Yes,Many,18.2,Medium,High
Countryside,1855.0,1.0,,Yes,15.0,25.0,No,Few,2.3,,Medium
City Center,1104.0,2.0,3.0,No,,13.0,No,Few,12.7,Medium,High
Suburbs,1233.0,,1.0,,4.0,6.0,Yes,Few,16.6,High,Medium
City Center,1579.0,1.0,1.0,Yes,3.0,32.0,,Few,13.4,Low,Low
Countryside,2057.0,4.0,3.0,Yes,12.0,25.0,No,Many,22.6,High,Low
Countryside,1204.0,2.0,1.0,,18.0,44.0,No,Few,24.9,High,Medium
Suburbs,1376.0,2.0,3.0,Yes,1.0,19.0,No,Few,23.3,High,Medium
City Center,,4.0,1.0,No,,2.0,Yes,Many,,Medium,Medium
Countryside,1823.0,2.0,2.0,No,10.0,3.0,Yes,Many,6.2,Low,Low
Suburbs,1687.0,3.0,1.0,Yes,3.0,,Yes,Many,16.3,Medium,Medium
Countryside,1603.0,,2.0,Yes,19.0,10.0,No,Few,28.1,Medium,Medium
Countryside,892.0,2.0,,No,19.0,1.0,No,Few,25.1,High,High
City Center,2406.0,3.0,2.0,No,14.0,,Yes,Few,25.4,Medium,Medium
,,1.0,,No,3.0,43.0,,Few,9.4,High,High
City Center,1035.0,4.0,1.0,No,8.0,29.0,Yes,Many,13.2,Low,High
Countryside,,1.0,3.0,,6.0,48.0,No,Few,14.4,Medium,High
,536.0,4.0,2.0,No,18.0,11.0,Yes,Few,5.1,Medium,Low
Countryside,1604.0,2.0,1.0,No,18.0,25.0,No,,1.4,Medium,High
City Center,2081.0,1.0,2.0,Yes,5.0,43.0,No,Many,28.4,High,Medium
City Center,,2.0,1.0,No,5.0,32.0,,Many,7.6,High,Low
Suburbs,2351.0,2.0,1.0,No,,12.0,Yes,,7.6,Medium,Low
Countryside,741.0,4.0,1.0,Yes,14.0,13.0,No,Few,3.0,Medium,Low
Countryside,2376.0,4.0,,Yes,,23.0,Yes,Few,27.9,,Low
Suburbs,,4.0,1.0,Yes,19.0,33.0,Yes,Few,17.6,Low,Low
Countryside,374.0,1.0,1.0,No,8.0,43.0,No,Few,20.2,Low,Low
Countryside,,3.0,3.0,No,3.0,25.0,No,Many,27.4,Low,Low
City Center,2389.0,4.0,3.0,Yes,17.0,20.0,No,Many,10.7,Low,High
,1679.0,4.0,1.0,Yes,17.0,27.0,,,18.8,,Medium
Countryside,340.0,1.0,3.0,,4.0,47.0,No,Few,1.6,Low,Medium
Suburbs,2381.0,4.0,2.0,,19.0,35.0,Yes,Few,6.0,Low,High
Suburbs,2000.0,1.0,2.0,,10.0,39.0,No,Few,25.0,,High
City Center,1701.0,2.0,3.0,Yes,4.0,1.0,No,Few,23.1,High,Low
Countryside,887.0,4.0,3.0,No,3.0,41.0,No,Many,10.8,,Low
Countryside,1922.0,4.0,1.0,No,11.0,8.0,Yes,Many,11.6,Low,High
Countryside,641.0,2.0,3.0,No,1.0,22.0,No,Many,16.2,Low,Low
City Center,2374.0,2.0,1.0,No,12.0,14.0,No,Few,0.5,Medium,Medium
City Center,945.0,2.0,2.0,No,9.0,12.0,No,Few,7.6,Medium,Medium
Suburbs,1030.0,4.0,3.0,No,,22.0,Yes,Many,6.6,Medium,Low
City Center,467.0,3.0,1.0,Yes,9.0,16.0,No,Many,7.9,Low,Low
Countryside,909.0,3.0,1.0,No,6.0,47.0,No,Few,,Medium,Low
Countryside,2072.0,3.0,2.0,No,3.0,1.0,No,,8.8,Low,Medium
City Center,,4.0,3.0,Yes,18.0,19.0,Yes,Many,6.1,High,Low
Countryside,754.0,2.0,,No,9.0,19.0,Yes,Few,15.4,Low,High
Countryside,2008.0,4.0,1.0,No,2.0,45.0,Yes,Many,26.0,Medium,Low
City Center,1001.0,2.0,1.0,Yes,18.0,2.0,Yes,Many,7.6,High,High
City Center,1899.0,4.0,3.0,Yes,1.0,11.0,No,Many,2.8,,Low
Countryside,429.0,,1.0,Yes,19.0,39.0,No,Few,11.0,,Low
Countryside,2145.0,2.0,3.0,No,9.0,1.0,Yes,Many,22.6,High,Medium
Countryside,1686.0,3.0,2.0,Yes,1.0,35.0,Yes,Many,16.7,High,High
Suburbs,992.0,,3.0,No,1.0,13.0,No,Many,24.6,Low,High
Suburbs,1694.0,1.0,3.0,No,16.0,15.0,No,Few,28.8,,High
Suburbs,1093.0,,1.0,No,15.0,18.0,Yes,Few,23.9,Low,Medium
,328.0,2.0,1.0,No,15.0,33.0,Yes,Many,18.3,Medium,High
Suburbs,448.0,4.0,3.0,,13.0,43.0,,Few,15.1,Low,Medium
,1619.0,1.0,1.0,Yes,6.0,45.0,Yes,Many,1.7,Low,Low
,2358.0,1.0,1.0,No,10.0,5.0,No,Few,29.5,Low,Low
Suburbs,1436.0,4.0,1.0,Yes,0.0,12.0,Yes,Few,,Medium,High
,486.0,4.0,3.0,,10.0,35.0,Yes,Many,,Low,Low
Suburbs,1550.0,3.0,1.0,No,3.0,21.0,No,Many,,High,Low
Countryside,1633.0,4.0,,,6.0,,No,Many,8.9,Low,High
Suburbs,397.0,2.0,,Yes,14.0,11.0,No,Few,17.8,High,Low
Countryside,354.0,2.0,2.0,No,17.0,29.0,No,Many,17.8,Medium,High
City Center,1057.0,3.0,1.0,,,39.0,No,Few,13.6,,High
,705.0,1.0,1.0,Yes,16.0,6.0,Yes,Few,25.2,Low,Low
Suburbs,2416.0,1.0,3.0,Yes,0.0,31.0,Yes,Many,8.3,Low,Low
City Center,1612.0,4.0,,Yes,10.0,,,Few,13.7,Low,Low
City Center,2085.0,2.0,1.0,Yes,0.0,18.0,No,Many,16.4,High,Low
City Center,1050.0,1.0,2.0,No,14.0,,Yes,Few,20.1,Medium,Low
,2062.0,3.0,1.0,Yes,9.0,19.0,No,Many,23.6,,Medium
Suburbs,664.0,3.0,1.0,No,6.0,26.0,Yes,,12.1,High,Low
City Center,2326.0,2.0,2.0,Yes,1.0,42.0,Yes,,19.6,Low,Medium
City Center,781.0,3.0,3.0,Yes,9.0,36.0,No,Many,,Low,High
City Center,453.0,3.0,,Yes,3.0,,No,Few,,High,Low
Countryside,1824.0,2.0,3.0,Yes,11.0,6.0,Yes,Many,11.8,High,Low
Countryside,2420.0,4.0,3.0,Yes,18.0,4.0,Yes,,22.0,Low,Low
Suburbs,,4.0,2.0,Yes,10.0,10.0,Yes,Few,1.1,Low,High
Countryside,1964.0,3.0,,,7.0,14.0,Yes,Few,6.6,High,Medium
City Center,1540.0,4.0,3.0,Yes,17.0,2.0,Yes,Many,14.9,Low,Medium
Suburbs,360.0,4.0,1.0,Yes,10.0,4.0,No,Many,26.4,Low,Low
City Center,1238.0,3.0,3.0,Yes,10.0,22.0,No,Many,16.1,High,Low
City Center,1939.0,,1.0,Yes,,36.0,No,,27.9,High,Low
Countryside,2389.0,3.0,1.0,No,,8.0,No,Many,14.8,,Low
Suburbs,324.0,,2.0,Yes,11.0,14.0,Yes,Few,15.0,High,High
Countryside,1362.0,2.0,1.0,Yes,2.0,2.0,Yes,Few,4.0,Low,Low
Countryside,430.0,2.0,1.0,Yes,9.0,28.0,No,,24.2,High,High
Suburbs,1552.0,4.0,3.0,Yes,16.0,5.0,Yes,Few,7.8,,Low
City Center,407.0,,2.0,No,1.0,,No,Few,27.0,High,Medium
City Center,471.0,4.0,1.0,,16.0,25.0,Yes,Few,27.4,Medium,Medium
Suburbs,1758.0,2.0,1.0,No,15.0,20.0,Yes,Few,28.3,Medium,Low
City Center,,1.0,,Yes,1.0,7.0,,Many,15.8,Low,Low
Suburbs,1936.0,1.0,,No,19.0,20.0,No,,20.5,Medium,High
Suburbs,1340.0,2.0,2.0,No,5.0,10.0,No,,23.5,High,Low
,629.0,1.0,2.0,Yes,9.0,37.0,No,Many,4.4,Medium,Low
Suburbs,1820.0,2.0,1.0,Yes,9.0,7.0,No,Few,18.2,High,Low
Countryside,311.0,,1.0,No,7.0,,Yes,Many,1.5,Medium,Medium
,,3.0,,,0.0,23.0,Yes,Few,15.2,Medium,High
City Center,515.0,3.0,1.0,Yes,12.0,34.0,Yes,Few,5.1,Medium,Medium
City Center,638.0,2.0,1.0,No,8.0,13.0,Yes,Few,5.9,High,High
City Center,2099.0,1.0,2.0,No,9.0,13.0,No,Many,11.3,Medium,Medium
Countryside,2050.0,,,No,14.0,9.0,Yes,Many,,High,Low
City Center,1808.0,1.0,3.0,Yes,4.0,,Yes,Many,18.9,,Medium
Suburbs,1009.0,3.0,2.0,No,15.0,37.0,Yes,Few,2.7,Low,Medium
Suburbs,1523.0,3.0,3.0,,12.0,43.0,No,,15.4,Medium,High
Suburbs,1412.0,,2.0,No,19.0,45.0,No,Few,5.9,Low,High
Countryside,1591.0,,,Yes,,33.0,No,Many,,Low,Medium
City Center,788.0,,2.0,Yes,10.0,40.0,,Few,19.3,High,High
City Center,1861.0,4.0,2.0,No,8.0,9.0,No,Few,16.9,Medium,High
City Center,346.0,1.0,,Yes,15.0,16.0,Yes,Many,22.3,,High
Countryside,1077.0,1.0,1.0,No,1.0,16.0,Yes,Many,,High,High
Suburbs,1339.0,1.0,3.0,Yes,,2.0,Yes,Many,23.1,Medium,High
Suburbs,1010.0,1.0,3.0,Yes,11.0,30.0,No,,13.3,High,Medium
City Center,700.0,,1.0,,7.0,0.0,No,Few,,,High
Suburbs,2117.0,1.0,1.0,Yes,8.0,11.0,Yes,Few,19.6,Medium,Low
Suburbs,,4.0,1.0,Yes,,38.0,Yes,,1.0,High,Medium
Countryside,690.0,3.0,2.0,Yes,8.0,3.0,No,,19.8,High,Medium
Countryside,634.0,2.0,2.0,No,9.0,41.0,No,Many,18.7,Low,Medium
Countryside,928.0,1.0,2.0,Yes,,12.0,No,Many,,High,High
Countryside,,3.0,1.0,Yes,15.0,33.0,Yes,Few,3.0,Medium,Low
City Center,,2.0,3.0,No,19.0,41.0,Yes,Few,3.2,Low,High
Countryside,1126.0,3.0,1.0,Yes,6.0,20.0,Yes,Few,27.7,Medium,Medium
Suburbs,1026.0,1.0,2.0,Yes,,21.0,No,Few,20.8,Low,Medium
City Center,1800.0,,2.0,Yes,0.0,3.0,No,Few,4.2,High,Medium
Suburbs,1289.0,4.0,1.0,Yes,18.0,17.0,No,Few,11.0,High,Medium
Suburbs,1234.0,1.0,1.0,Yes,3.0,4.0,Yes,Few,,High,High
Suburbs,701.0,1.0,2.0,,1.0,18.0,,Few,25.1,Medium,Low
Countryside,1766.0,2.0,2.0,No,13.0,1.0,No,Many,1.8,Low,Low
Countryside,914.0,4.0,2.0,Yes,1.0,11.0,Yes,Many,7.5,Medium,Medium
City Center,1596.0,2.0,1.0,Yes,14.0,16.0,No,Few,26.7,Low,Low
City Center,,3.0,2.0,Yes,11.0,9.0,Yes,Many,0.8,High,Medium
Countryside,1421.0,1.0,,No,4.0,33.0,No,Few,,Medium,Medium
Suburbs,430.0,3.0,3.0,No,19.0,5.0,Yes,Few,28.8,,Low
City Center,,2.0,1.0,Yes,6.0,7.0,Yes,Many,18.6,Medium,Medium
Countryside,482.0,1.0,3.0,Yes,9.0,,No,Few,8.2,,Low
Countryside,663.0,1.0,3.0,No,13.0,,No,Few,,Medium,Medium
Countryside,338.0,2.0,2.0,Yes,13.0,8.0,No,Few,,Medium,Low
,1672.0,2.0,1.0,No,4.0,1.0,,Few,7.7,,Medium
Countryside,1220.0,,,No,17.0,7.0,No,Few,26.5,High,Low
Countryside,315.0,,1.0,Yes,13.0,10.0,Yes,Few,12.8,Low,Medium
Countryside,792.0,,3.0,,1.0,35.0,No,,21.7,Low,Medium
Countryside,1749.0,1.0,1.0,Yes,,9.0,No,Many,27.6,High,Medium
City Center,1431.0,2.0,2.0,,5.0,20.0,No,Many,12.5,Medium,Low
City Center,610.0,1.0,2.0,Yes,3.0,19.0,Yes,Few,6.1,Low,High
Countryside,1038.0,1.0,2.0,Yes,12.0,47.0,No,Many,15.8,High,Medium
Suburbs,,2.0,1.0,,3.0,7.0,,Few,27.3,Medium,Medium
City Center,,2.0,3.0,Yes,13.0,35.0,No,Few,24.2,Low,Low
,1058.0,4.0,3.0,No,15.0,,Yes,Few,2.4,Low,Medium
City Center,2104.0,1.0,1.0,No,3.0,41.0,Yes,Few,20.9,Low,Medium
,1597.0,2.0,2.0,No,0.0,11.0,No,Many,17.4,Medium,Medium
Suburbs,1931.0,2.0,3.0,No,12.0,13.0,Yes,Many,27.3,Low,Medium
Countryside,2214.0,2.0,2.0,,3.0,,No,,4.1,Medium,High
Countryside,1113.0,4.0,1.0,No,19.0,49.0,Yes,Many,,Low,High
Suburbs,328.0,4.0,2.0,No,17.0,20.0,No,Few,26.4,High,Medium
Suburbs,1257.0,3.0,3.0,No,5.0,21.0,Yes,,12.6,Low,Medium
Countryside,2332.0,1.0,3.0,Yes,2.0,20.0,No,Few,14.7,High,Medium
Countryside,,3.0,,No,12.0,43.0,No,Few,2.6,High,High
Suburbs,617.0,2.0,1.0,Yes,,,Yes,Many,8.7,High,High
City Center,544.0,,2.0,No,4.0,29.0,,Few,10.1,Medium,Low
City Center,1047.0,4.0,1.0,Yes,3.0,38.0,No,Many,28.4,High,Low
Suburbs,996.0,3.0,2.0,Yes,7.0,19.0,No,,8.8,Low,Medium
City Center,571.0,4.0,,No,18.0,23.0,No,Many,14.1,Medium,Medium
Suburbs,2071.0,2.0,1.0,Yes,13.0,22.0,Yes,Many,20.3,High,High
City Center,1562.0,4.0,1.0,Yes,6.0,6.0,No,Many,5.3,Medium,Medium
City Center,565.0,,1.0,No,13.0,8.0,Yes,Few,14.9,Medium,Medium
Countryside,1220.0,2.0,,No,5.0,0.0,Yes,Many,,Medium,High
Countryside,639.0,3.0,,No,11.0,25.0,,Many,26.1,Low,High
City Center,688.0,4.0,3.0,Yes,15.0,37.0,Yes,Few,19.0,High,High
City Center,2350.0,3.0,1.0,Yes,16.0,37.0,No,Many,20.2,Medium,High
Countryside,1465.0,3.0,2.0,Yes,12.0,43.0,No,Many,4.2,Medium,Low
Countryside,675.0,1.0,,No,13.0,21.0,Yes,Few,28.4,Medium,High
Countryside,2333.0,4.0,1.0,,6.0,43.0,,Few,4.4,High,High
Suburbs,445.0,,1.0,Yes,13.0,9.0,Yes,Many,23.4,Medium,Medium
City Center,,3.0,3.0,,,5.0,No,Few,8.3,Medium,Medium
Countryside,592.0,1.0,,Yes,11.0,16.0,No,Many,28.0,,Medium
City Center,731.0,4.0,3.0,Yes,16.0,49.0,,Few,21.7,High,Low
Suburbs,1004.0,2.0,1.0,Yes,8.0,37.0,Yes,Many,22.7,Low,High
Suburbs,2298.0,3.0,3.0,Yes,14.0,23.0,Yes,Many,7.0,,High
Countryside,,4.0,1.0,No,11.0,9.0,No,Many,13.6,,Low
Suburbs,1263.0,2.0,3.0,No,1.0,7.0,Yes,Few,18.7,High,High
City Center,2341.0,4.0,1.0,No,4.0,20.0,Yes,,23.2,Low,Medium
Countryside,2128.0,2.0,,Yes,12.0,5.0,No,Few,3.6,Low,Low
City Center,2408.0,3.0,2.0,Yes,19.0,20.0,Yes,Many,28.9,Low,High
City Center,1238.0,4.0,3.0,No,7.0,38.0,No,Many,26.8,Low,Low
Suburbs,1009.0,4.0,3.0,Yes,13.0,23.0,,Many,8.5,Medium,Low
Suburbs,1106.0,1.0,1.0,No,14.0,32.0,No,Many,,Medium,High
,1763.0,3.0,1.0,,10.0,17.0,,Many,15.8,Medium,Medium
Suburbs,1625.0,,1.0,Yes,0.0,,No,Few,14.1,High,High
,310.0,4.0,2.0,No,2.0,31.0,No,Few,9.8,Medium,High
Countryside,,4.0,2.0,,,,Yes,Few,17.6,High,Medium
City Center,2168.0,2.0,1.0,No,18.0,47.0,Yes,Many,22.0,Low,High
,1071.0,3.0,3.0,No,13.0,41.0,Yes,Many,12.6,High,High
City Center,1894.0,1.0,3.0,No,7.0,26.0,Yes,Few,19.1,High,High
City Center,1907.0,1.0,,Yes,12.0,9.0,No,Many,21.1,Medium,Low
,1633.0,,2.0,Yes,19.0,45.0,Yes,Many,21.5,Low,Low
City Center,1184.0,2.0,1.0,Yes,2.0,41.0,Yes,Many,2.0,Low,Low
Countryside,1689.0,4.0,3.0,No,4.0,31.0,Yes,Few,25.9,Medium,High
Countryside,525.0,2.0,1.0,,8.0,41.0,Yes,Few,14.0,Low,Medium
City Center,1124.0,1.0,2.0,No,5.0,25.0,No,Few,8.2,Low,Low
City Center,1236.0,3.0,3.0,No,1.0,24.0,Yes,Few,7.6,Low,Medium
Countryside,2211.0,2.0,,No,12.0,10.0,No,Few,14.7,Medium,High
Countryside,,1.0,2.0,No,,22.0,Yes,Many,26.7,,Low
Suburbs,353.0,4.0,1.0,Yes,7.0,33.0,No,Many,11.7,High,High
Countryside,1026.0,2.0,1.0,Yes,0.0,39.0,No,Many,22.6,High,Medium
,,3.0,3.0,Yes,19.0,,Yes,Many,3.4,Low,Low
,1343.0,4.0,,Yes,11.0,28.0,No,Few,14.5,Medium,Low
Suburbs,2213.0,4.0,3.0,,10.0,30.0,Yes,,29.8,Medium,Low
,2076.0,1.0,2.0,No,6.0,6.0,No,Many,23.2,Medium,Low
Suburbs,1896.0,2.0,1.0,No,14.0,39.0,No,Few,,Low,Medium
City Center,2214.0,4.0,,No,10.0,32.0,No,Many,15.3,Low,Low
Countryside,1149.0,3.0,1.0,,15.0,20.0,Yes,Many,7.4,High,High
Suburbs,2409.0,2.0,2.0,No,2.0,1.0,No,Many,12.6,,Low
Countryside,302.0,3.0,3.0,No,19.0,17.0,Yes,Many,23.5,High,Medium
,459.0,4.0,1.0,,13.0,46.0,No,Few,23.3,,Low
Suburbs,1080.0,3.0,3.0,No,2.0,32.0,No,Many,7.2,Medium,Medium
City Center,1192.0,1.0,3.0,No,0.0,36.0,No,Few,27.7,Low,Medium
,2330.0,3.0,1.0,,14.0,,No,Many,18.0,Low,High
City Center,879.0,2.0,1.0,No,0.0,19.0,No,Many,,High,Low
Countryside,2233.0,3.0,3.0,Yes,16.0,,No,Many,15.3,High,Low
,1680.0,3.0,3.0,Yes,1.0,49.0,Yes,Many,18.3,High,Low
City Center,1590.0,1.0,3.0,No,19.0,17.0,Yes,Few,17.0,High,High
